trait_id,name,type,triggers,formula_key,formula_expr,bound_nbid,stamina_cost,cooldown,description
NUMB_LightningChannel,Lightning Channel,Manual,OnAbilityUse,AOE,Target takes FS + 1 damage; adjacent units RES -1 for 1 turn,STORM-138;THOR-(JANE-FOSTER)-153;THOR-(JANE-FOSTER)-153;BETA-RAY-BILL-010;MAGNETO-091;CAPTAIN-MARVEL-027,2,2 turns,"Channel a focused lightning strike. Primary target takes enhanced damage, and all adjacent enemies suffer -1 RES due to electrical disruption. Ideal for disrupting tank clusters and supports."
NUMB_Metamorph,Metamorph,Passive,None,,,MYSTIQUE-103,0,none,"Mystique can mimic the appearance, role, or aura of other Nexus Beings. Future synergy trigger."
NUMB_PatriotSync,Patriot Sync,Circuit,OnTeamPresence,Morale,Morale +2; FS +1 when Cap and Winter Soldier are both active,CAPTAIN-AMERICA-(ROGERS)-025;WINTER-SOLDIER-162,1,none,Captain America and Bucky enter battle with unmatched synergy. Both gain +1 FS and all allies gain +2 Morale from their shared legacy and battlefield trust.
NUMB_PowerSteal,Power Steal,Manual,OnAbilityUse,traits,Copy 1 trait from target for 2 turns; target loses access to that trait during this time; -1 Morale; -1 SBY if trait is psychic or traumatic,ROGUE-121,2,2 turns,"Rogue absorbs a target’s trait for 2 turns, removing it from the original user. If the trait is psychic or traumatic, Rogue suffers -1 Morale and -1 Stability (SBY). The target becomes trait-incapacitated for the duration."
NUMB_Resilience,Godly Resilience,Passive,OnDamageTaken,RES,RES + 1 (if HP < 50%),THOR-(JANE-FOSTER)-153;ADAM-WARLOCK-002;APOCALYPSE-006;SHE-HULK-127,0,none,"When injured, gains temporary resilience due to divine or advanced physical fortitude."
NUMB_SeismicDisrupt,Seismic Disrupt,Manual,OnAbilityUse,AOE,"All combatants: RES -1, SPD -1, Morale -1 (for 1 turn)",QUAKE-117,3,3 turns,"Quake unleashes a battlefield-wide shockwave. ALL units — allies and enemies — suffer -1 RES, SPD, and Morale for 1 turn. Extremely effective but must be used with precision or it could destabilize your own team."
NUMB_Shapeshifter,Shapeshifter,Manual,OnAbilityUse,traits,Temporarily copy 1 trait from another visible NB,MYSTIQUE-103;SYNCH-142,2,2 turns,"Temporarily copies one trait from an enemy or ally visible on the field. Only copies traits that are Manual, Passive, or Triggered — no Circuit or Synergy traits. Copied trait lasts 2 turns or until Mystique is hit."
NUMB_Shatterform,Shatterform,Manual,OnAbilityUse,PSY,"Restore PSY access, disable RES boost; role = Intel",EMMA-FROST-052,1,1 turn,Emma ends her diamond form and regains all psychic abilities. Loses bonus RES and returns to her original Intel role. May be triggered once diamond duration ends or manually earlier.
NUMB_ShieldWall,Shield Wall,Passive,OnStartTurn,RES,RES + 1,ARMOR-007;BLOB-019;CAPTAIN-AMERICA-(ROGERS)-025;COLOSSUS-032;DANGER-038;ICEMAN-073;INVISIBLE-WOMAN-074;JEAN-GREY-(PHOENIX)-078;JUGGERNAUT-082;LUKE-CAGE-088;MAGNETO-091;MARVEL-GIRL-092;THE-THING-150;U.S.-AGENT-154;VALKYRIE-156,0,none,Grants all teammates +1 RES while active.
NUMB_Sureshot,Sureshot,Triggered,OnTargetLock,FS,FS + 2 if enemy has not targeted user yet,HAWKEYE-(KATE-BISHOP)-068;HAWKEYE-CLINT-BARTON,1,1 turn,First shot against any enemy who hasn’t targeted this character yet gains +2 FS and bypasses evasion boosts. Emphasizes timing and stealth.
NUMB_SymbolOfHope,Symbol of Hope,Triggered,OnAllyKO,Morale,Morale + 2,CAPTAIN-AMERICA-(ROGERS)-025;CAPTAIN-AMERICA-(WILSON)-026;SPIDER-MAN-(PARKER)-133;PATRIOT-(ELI-BRADLEY)-112,0,none,Boosts morale for allies when an ally is KO'd.
NUMB_TacticalEcho,Tactical Echo,Circuit,OnTeamPresence,LDR,LDR +1 to all Ops if Synch + any TacticalMind user is active,SYNCH-142;CYCLOPS-034;CAPTAIN-AMERICA-(ROGERS)-025;NICK-FURY-106;FORGE-056;BLACK-PANTHER-(SHURI)-014;ABIGAIL-BRAND-001;SAGE-123,1,1 turn,"When Synch and a strategic tactician are present, they amplify coordination. All Ops-role characters gain +1 LDR this turn from shared command harmony."
NUMB_TeleportStrike,Teleport Strike,Manual,OnAbilityUse,SPD,SPD + 2,MAGIK-090;WICCAN-161;DOCTOR-STRANGE-046;CLOAK-030;NIGHTCRAWLER-108;CABLE-023;FORGE-056;STORM-138,3,1 turn,"Teleports across the field, gaining SPD and letting ranged allies fire through the portal for +1 FS."
NUMB_Unshuttable,Unshuttable,Passive,OnStartTurn,enemy_morale,Lowest enemy Morale -1 (once per match),DEADPOOL-042,0,1 match,"Deadpool’s nonstop chatter grates on the opposition. At the start of a match, the enemy with the lowest Morale loses an additional -1 Morale from his antics. Once per match, automatically applied."
NUMB_Worthy,Worthy,Passive,OnStartTurn,Morale,Morale +1; FS +1 if carrying divine-class weapon,BETA-RAY-BILL-010;BLACK-WIDOW-017;CAPTAIN-AMERICA-(ROGERS)-025;MOON-KNIGHT-096;STORM-138;THOR-(JANE-FOSTER)-153;VALKYRIE-156,0,none,"Characters deemed 'worthy' of divine artifacts like Mjolnir gain +1 Morale and +1 FS each turn. Represents confidence, righteousness, and mythic empowerment from their sacred connection."
NUMB_TeleportEvac,Teleport Evac,Triggered,OnFLKO,N/A,Sub in 1 bench character with FL eligibility,MAGIK-090;WICCAN-161;DOCTOR-STRANGE-046;CLOAK-030;NIGHTCRAWLER-108;CABLE-023;TEMPUS-146,2,1 match,"When a Field Leader (FL) is KO’d, this character may teleport in a FL-eligible bench substitute. Requires precision timing. May only be used once per match."
NUMB_MartialArtist,Martial Artist,Passive,OnStartTurn,FS,FS +1 if melee or unarmed,SHANG-CHI-126;IRON-FIST-075;ELEKTRA-050;BLACK-WIDOW-017;MOON-KNIGHT-096;DAREDEVIL-039;TASKMASTER-144;MISTY-KNIGHT-094;COLLEEN-WING-031;PSYLOCKE-116;ECHO-049;CAPTAIN-AMERICA-(ROGERS)-025;BLACK-PANTHER-(T'CHALLA)-015;BLACK-PANTHER-(SHURI)-014;WOLVERINE--X-23-165;KATE-PRYDE-(SHADOWCAT)-084,0,none,Gains +1 FS if wielding no ranged weapon. Represents mastery of hand-to-hand and melee combat.
NUMB_LightningChannel,Lightning Channel,Manual,OnAbilityUse,AOE,Target takes FS + 1 damage; adjacent units RES -1 for 1 turn,STORM-138;THOR-(JANE-FOSTER)-153;BETA-RAY-BILL-010;MAGNETO-091;CAPTAIN-MARVEL-027,2,2 turns,"Strike with focused lightning. Main target suffers damage, while surrounding enemies suffer -1 RES due to electrical feedback."
NUMB_Frostbite,Frostbite,Manual,OnAbilityUse,SPD,Target SPD -2 for 1 turn; RES -1 if already slowed,ICEMAN-073;STORM-138;EMMA-FROST-052;MAGIK-090,2,2 turns,"Freezes target’s movement. -2 SPD on first hit, -1 RES if they were already hindered. Stackable with slow/stagger effects."
NUMB_Ignition,Ignition,Manual,OnAbilityUse,HP,Target loses 2 HP over 2 turns,PHOENIX-078;PYRO-060;HUMAN-TORCH-069;MAGMA-067,2,2 turns,"Burn effect. Target suffers 1 HP immediately and 1 HP next turn. Combos well with panic, suppression, and terrain ignition effects."
NUMB_OrgCommand,Organizational Command,Passive,OnStartTurn,LDR,LDR +2 if commanding from org-affiliated role,NICK-FURY-106;ABIGAIL-BRAND-001;BLACK-WIDOW-017;SHURI-014;BLACK-PANTHER-(T'CHALLA)-015;NAMOR-(THE-SUB-MARINER)-104;SILVER-SABLE-128;KINGPIN-086;SQUIRREL-GIRL-135;ANT-MAN-005;MULTIPLE-MAN-101;ULTRON-155;VALKYRIE-156;QUAKE-117;MOON-KNIGHT-096;KANG-THE-CONQUEROR-083,0,none,"Grants +2 LDR to any character deploying command-level tactics, squads, agents, or drones. Applies to SHIELD, Wakanda, Atlantis, Limbo, Hellfire ops, and multiversal command figures."
